id;code;name;is_active;description;completion_date;reg_number;notes;address;priority;progress
1;contextually-based Alaska Fresh;Table Micronesia;false;Soft functionalities;2023-01-30;Concrete USB;benchmark European;redefine Keyboard;Mountain invoice;81135
2;Malagasy Alley Practical;solution;true;Beauty ROI turquoise;2023-01-30;neural;Central;Buckinghamshire Keyboard;Oklahoma;79826
3;navigating Intelligent;Specialist Euro Assurance;false;technologies Ringgit Up-sized;2023-01-31;Gloves violet Account;pink;microchip index actuating;Computer invoice digital;82198
4;services infomediaries Technician;synthesizing Gloves;true;Directives invoice;2023-01-30;Liberia Metrics;Computer digital matrix;Metal matrix back-end;Cross-group compelling;10615
5;orange supply-chains;South;true;blue;2023-01-30;invoice District;Wisconsin;Metal PCI Saint;JBOD;27296
6;PCI Arabia;strategy black;false;blue;2023-01-30;Avon Suriname;Hat harness bypass;leading-edge;eyeballs hardware;44585
7;salmon;Philippines;true;GB invoice Utah;2023-01-30;Fresh;Account programming B2C;morph object-oriented;payment Palestinian;40596
8;Algerian Loan;Strategist seize Account;false;systems;2023-01-31;Plastic applications;Market;innovative coherent connecting;Associate;53723
9;Mews Dynamic Gloves;Tasty Iranian 4th;false;pixel User-centric;2023-01-30;groupware copying bus;vortals grow vortals;JBOD Frozen Tennessee;Licensed;97
10;Concrete;Buckinghamshire optical;true;Mountains Customer;2023-01-30;Dakota;bi-directional;Borders;cross-platform Account Garden;70434
